,CATEGORY,INSTALL_DATE,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,SHAPE_Length,STREET,START,END
2823,BKF-SHW,2007,DISTRICT2,,203.007240641569,BEACON ER AVE S ,BEACON ER AVE S AND S WEBSTER N ST,BEACON ER AVE S AND S WEBSTER S ST
2824,BKF-SHW,2007,DISTRICT2,,266.515400288075,BEACON ER AVE S ,BEACON ER AVE S AND S HOLDEN ST,BEACON ER AVE S AND S PORTLAND ST
2825,BKF-SHW,2007,DISTRICT2,,263.754441388923,BEACON ER AVE S ,BEACON ER AVE S AND S CHICAGO ST,BEACON ER AVE S AND S KENYON ST
2826,BKF-NGW,2017,DISTRICT2,,15.4295989719743,S WEBSTER ST ,44TH AVE S AND S WEBSTER ST,45TH AVE S AND S WEBSTER ST
2827,BKF-PBL,2019,DISTRICT4,,301.927991180335,NE 70TH ST ,8TH AVE NE AND NE 70TH ST,9TH AVE NE AND NE 70TH ST
2828,BKF-PBL,2019,DISTRICT4,,430.11334399872,NE 70TH ST ,NE 70TH ST AND ROOSEVELT WAY NE,12TH AVE NE AND NE 70TH ST
2829,BKF-NGW,2019,DISTRICT4,,299.193771414629,NE 70TH ST ,BROOKLYN AVE NE AND NE 70TH ST,14TH AVE NE AND NE 70TH ST
2830,BKF-SHW,2008,DISTRICT6,,434.9767106709,NE 71ST ST ,NE 71ST ST AND WOODLAWN AVE NE,5TH AVE NE AND NE 71ST ST
2831,BKF-PBL,2017,DISTRICT4,,107.020017515381,NE 75TH ST ,BANNER WAY NE AND NE 75TH ST,8TH AVE NE AND NE 75TH ST
2832,BKF-PBL,2017,DISTRICT4,,269.1511471662,NE 75TH ST ,9TH AVE NE AND NE 75TH ST,NE 75TH ST AND ROOSEVELT WAY NE
2833,BKF-PBL,2017,DISTRICT4,,129.8465301313,NE 75TH ST ,LAKE CITY WAY NE AND NE 75TH ST,11TH AVE NE AND NE 75TH ST
2834,BKF-PBL,2017,DISTRICT4,,260.45183898017,NE 75TH ST ,12TH AVE NE AND NE 75TH ST,BROOKLYN AVE NE AND NE 75TH ST
2835,BKF-PBL,2017,DISTRICT4,,269.058174114548,NE 75TH ST ,14TH AVE NE AND NE 75TH ST,15TH AVE NE AND NE 75TH ST
2836,BKF-BL,2013,DISTRICT4,,264.042718460098,NE 75TH ST ,16TH AVE NE AND NE 75TH ST,17TH W AVE NE AND NE 75TH ST
2837,BKF-BL,2013,DISTRICT4,,120.77456497222,NE 75TH ST ,17TH W AVE NE AND NE 75TH ST,17TH E AVE NE AND NE 75TH ST
2838,BKF-BL,2013,DISTRICT4,,263.916939135423,NE 75TH ST ,18TH AVE NE AND NE 75TH ST,19TH AVE NE AND NE 75TH ST
2839,BKF-BL,2013,DISTRICT4,,332.366971936226,NE 75TH ST ,20TH AVE NE AND NE 75TH ST,21ST AVE NE AND NE 75TH ST
2840,BKF-SHW,2000,DISTRICT7,,278.436508604641,W GALER ST ,THORNDYKE AVE W AND W GALER ST,28TH AVE W AND W GALER ST
2841,BKF-BL,2000,DISTRICT7,,309.974420133194,W GALER ST ,28TH AVE W AND W GALER ST,MAGNOLIA BLVD W AND W GALER ST
2842,BKF-PBL,2017,DISTRICT7,,280.747568505588,W GOVERNMENT WAY ,29TH AVE W AND W GOVERNMENT WAY,30TH AVE W AND W GOVERNMENT WAY
2843,BKF-PBL,2017,DISTRICT7,,116.351321185176,W GOVERNMENT WAY ,31ST AVE W AND W GOVERNMENT WAY,W FORT ST AND W GOVERNMENT WAY
2844,BKF-BL,1980,DISTRICT7,,221.121313699009,W GOVERNMENT WAY ,32ND N AVE W AND W GOVERNMENT WAY,32ND S AVE W AND W GOVERNMENT WAY
2845,BKF-BL,1980,DISTRICT7,,435.770695167019,W GOVERNMENT WAY ,33RD AVE W AND W GOVERNMENT WAY,34TH AVE W AND W GOVERNMENT WAY
2846,BKF-BL,2010,DISTRICT1,,216.238264377775,SW ADMIRAL WAY ,SW ADMIRAL WAY AND SW HANFORD E ST,34TH AVE SW AND SW ADMIRAL WAY
2847,BKF-SHW,2008,DISTRICT1,,108.883853531774,SW ADMIRAL WAY ,37TH E AVE SW AND SW ADMIRAL WAY,37TH W AVE SW AND SW ADMIRAL WAY
2848,BKF-SHW,2008,DISTRICT1,,231.306587691621,SW ADMIRAL WAY ,38TH AVE SW AND SW ADMIRAL WAY,39TH AVE SW AND SW ADMIRAL WAY
2849,BKF-SHW,2008,DISTRICT1,,154.158537906795,SW ADMIRAL WAY ,SW ADMIRAL WAY AND WALNUT AVE SW,41ST AVE SW AND SW ADMIRAL WAY
2850,BKF-SHW,2008,DISTRICT1,,338.942583512402,SW ADMIRAL WAY ,42ND AVE SW AND SW ADMIRAL WAY,CALIFORNIA AVE SW AND SW ADMIRAL WAY
2851,BKF-BL,2016,DISTRICT1,,340.503338494541,SW ADMIRAL WAY ,44TH AVE SW AND SW ADMIRAL WAY,45TH AVE SW AND SW ADMIRAL WAY
